127.0.0.1 - - [20/Sep/2017:09:28:49 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:53:17 +0800] "GET /vueTest/js/vue-developmentMode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:53:17 +0800] "GET /vueTest/js/tween.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:53:17 +0800] "GET /vueTest/js/index4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:53:17 +0800] "GET /vueTest/js/TweenMax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:53:29 +0800] "GET /vueTest/ HTTP/1.1" 200 4830
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:53:29 +0800] "GET /vueTest/js/vue-developmentMode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:53:29 +0800] "GET /vueTest/js/Velocity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:53:29 +0800] "GET /vueTest/js/jQuery-v3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:53:29 +0800] "GET /vueTest/js/axios-v0.16.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:53:29 +0800] "GET /vueTest/js/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:53:29 +0800] "GET /vueTest/js/TweenMax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:53:29 +0800] "GET /vueTest/js/tween.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:53:29 +0800] "GET /vueTest/js/index4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:54:06 +0800] "GET /vueTest/js/index4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:55:08 +0800] "GET /vueTest/WEB-INF/OK HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:55:31 +0800] "GET /vueTest/WEB-INF/web.xml HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [20/Sep/2017:09:55:54 +0800] "GET /vueTest/js/index4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:08:38 +0800] "GET /vueTest/ HTTP/1.1" 200 4835
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:08:38 +0800] "GET /vueTest/js/tween.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:08:38 +0800] "GET /vueTest/js/jQuery-v3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:08:38 +0800] "GET /vueTest/js/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:08:38 +0800] "GET /vueTest/js/axios-v0.16.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:08:38 +0800] "GET /vueTest/js/vue-developmentMode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:08:38 +0800] "GET /vueTest/js/TweenMax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:08:38 +0800] "GET /vueTest/js/Velocity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:08:38 +0800] "GET /vueTest/js/user/index4.js HTTP/1.1" 200 11910
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:08:40 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:09:40 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:11:32 +0800] "GET /vueTest/ HTTP/1.1" 200 3794
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:11:32 +0800] "GET /vueTest/js/user/index4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:11:33 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:12:09 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:13:02 +0800] "GET /vueTest/ HTTP/1.1" 200 3827
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:13:02 +0800] "GET /vueTest/css/user/index4.css HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:13:03 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:14:08 +0800] "GET /vueTest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:14:08 +0800] "GET /vueTest/css/user/index4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:14:08 +0800] "GET /vueTest/js/user/index4.js HTTP/1.1" 200 11912
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:14:57 +0800] "GET /vueTest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:14:58 +0800] "GET /vueTest/js/axios-v0.16.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:14:58 +0800] "GET /vueTest/js/jQuery-v3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:14:58 +0800] "GET /vueTest/js/vue-developmentMode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:14:58 +0800] "GET /vueTest/css/user/index4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:14:58 +0800] "GET /vueTest/js/user/index4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:14:58 +0800] "GET /vueTest/js/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:14:58 +0800] "GET /vueTest/js/Velocity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:14:58 +0800] "GET /vueTest/js/tween.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:14:58 +0800] "GET /vueTest/js/TweenMax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:14:58 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:15:49 +0800] "GET /vueTest/ HTTP/1.1" 200 3836
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:15:49 +0800] "GET /vueTest/css/user/index4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:15:49 +0800] "GET /vueTest/js/user/index4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:15:50 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:16:13 +0800] "GET /vueTest/ HTTP/1.1" 200 3834
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:16:14 +0800] "GET /vueTest/js/vue-developmentMode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:16:14 +0800] "GET /vueTest/js/Velocity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:16:14 +0800] "GET /vueTest/js/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:16:14 +0800] "GET /vueTest/js/axios-v0.16.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:16:14 +0800] "GET /vueTest/js/tween.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:16:14 +0800] "GET /vueTest/js/jQuery-v3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:16:14 +0800] "GET /vueTest/js/TweenMax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:16:14 +0800] "GET /vueTest/js/user/index4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:16:14 +0800] "GET /vueTest/css/user/index4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:16:14 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:26:07 +0800] "GET /vueTest/ HTTP/1.1" 200 3988
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:26:07 +0800] "GET /vueTest/js/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:26:07 +0800] "GET /vueTest/js/vue-developmentMode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:26:07 +0800] "GET /vueTest/js/jQuery-v3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:26:07 +0800] "GET /vueTest/js/tween.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:26:07 +0800] "GET /vueTest/js/axios-v0.16.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:26:07 +0800] "GET /vueTest/js/TweenMax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:26:07 +0800] "GET /vueTest/js/Velocity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:26:07 +0800] "GET /vueTest/js/user/index4.js HTTP/1.1" 200 12107
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:26:07 +0800] "GET /vueTest/css/user/index4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:26:07 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:17 +0800] "GET /vueTest/ HTTP/1.1" 200 3991
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:17 +0800] "GET /vueTest/css/user/index4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:17 +0800] "GET /vueTest/js/user/index4.js HTTP/1.1" 200 12785
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:17 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:35 +0800] "GET /vueTest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:35 +0800] "GET /vueTest/js/vue-developmentMode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:35 +0800] "GET /vueTest/js/Velocity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:35 +0800] "GET /vueTest/js/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:35 +0800] "GET /vueTest/js/jQuery-v3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:35 +0800] "GET /vueTest/js/axios-v0.16.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:35 +0800] "GET /vueTest/js/tween.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:35 +0800] "GET /vueTest/js/TweenMax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:35 +0800] "GET /vueTest/css/user/index4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:35 +0800] "GET /vueTest/js/user/index4.js HTTP/1.1" 200 12785
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:36 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:37 +0800] "GET /vueTest/print.actoin HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:55 +0800] "GET /vueTest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:55 +0800] "GET /vueTest/js/vue-developmentMode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:55 +0800] "GET /vueTest/js/Velocity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:55 +0800] "GET /vueTest/js/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:55 +0800] "GET /vueTest/js/jQuery-v3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:55 +0800] "GET /vueTest/js/tween.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:55 +0800] "GET /vueTest/js/TweenMax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:55 +0800] "GET /vueTest/css/user/index4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:55 +0800] "GET /vueTest/js/axios-v0.16.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:55 +0800] "GET /vueTest/js/user/index4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:55 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:58 +0800] "GET /vueTest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:58 +0800] "GET /vueTest/js/vue-developmentMode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:58 +0800] "GET /vueTest/js/Velocity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:58 +0800] "GET /vueTest/js/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:58 +0800] "GET /vueTest/js/jQuery-v3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:58 +0800] "GET /vueTest/js/axios-v0.16.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:58 +0800] "GET /vueTest/js/tween.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:58 +0800] "GET /vueTest/js/TweenMax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:58 +0800] "GET /vueTest/css/user/index4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:58 +0800] "GET /vueTest/js/user/index4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:31:58 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:32:00 +0800] "GET /vueTest/print.actoin HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:32:13 +0800] "GET /vueTest/js/user/index4.js HTTP/1.1" 200 12785
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:32:13 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:32:16 +0800] "GET /vueTest/print.action HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:08 +0800] "GET /vueTest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:09 +0800] "GET /vueTest/js/vue-developmentMode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:09 +0800] "GET /vueTest/js/Velocity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:09 +0800] "GET /vueTest/js/jQuery-v3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:09 +0800] "GET /vueTest/js/tween.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:09 +0800] "GET /vueTest/js/axios-v0.16.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:09 +0800] "GET /vueTest/js/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:09 +0800] "GET /vueTest/css/user/index4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:09 +0800] "GET /vueTest/js/TweenMax.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:09 +0800] "GET /vueTest/js/user/index4.js HTTP/1.1" 200 12780
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:09 +0800] "GET /vueTest/js/axios.min.map HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:10 +0800] "GET /vueTest//text HTTP/1.1" 200 28
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:29 +0800] "GET /vueTest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:29 +0800] "GET /vueTest/js/vue-developmentMode.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:29 +0800] "GET /vueTest/js/jQuery-v3.2.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:29 +0800] "GET /vueTest/js/Velocity.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:29 +0800] "GET /vueTest/css/user/index4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:29 +0800] "GET /vueTest/js/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:29 +0800] "GET /vueTest/js/axios-v0.16.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:29 +0800] "GET /vueTest/js/user/index4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:29 +0800] "GET /vueTest/js/tween.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2017:10:33:29 +0800] "GET /vueTest/js/TweenMax.min.js HTTP/1.1" 304 -
